id,year,country,region,incomegroup,lnexport,prhs,centrality,dstoi,lngdp,exportd_r,fdi_out_r,fixband_r,lnpatent,post2016,post2018,post2017,地域,收入,CCTPP,lngdp_squared,dstoi_squared,X,m0_sample,m0_fid_1,Y1_pystacked_1,D1_pystacked_1,m0_sample_1,productivity_d1,AI_d1,Tech_d1,techindex_d1,digit_d1,articles_d1,re_d1,culture_d1,inst_d1,secure_d1,fta_d1,ebit_mean,assets_mean,liabilities_mean,leverage_mean,ma_success_rate,ma_count,lnma_count,productivity_d3,PerData_d3,AI_d3,Tech_d3,techindex_d3,digit_d3,LWTariff,dlny
1,2014,AUT,Europe,High income,9.970870018005371,41.863956451416016,0.025169141590595245,0.9170823097229004,26.815898895263672,0.5338658094406128,-0.0019778499845415354,0.2760334312915802,0.06927106529474258,0.0,0.0,0.0,4,1,0,719.0924072265625,0.8410399556159973,3.6683292388916016,1,4,9.489267349243164,3.6690754890441895,1,101.46794,0.0,0.0,0.708,2.8653846153846154,13943.562933333333,0.03948423102484628,3.3115550508434857,1.2695422040090052,0.0005824226506024097,0.4578313253012048,9.279390523844789e-05,0.13491023353032927,0.00021866025465292087,3.1390643808187297e-08,0.7761194029850746,67.0,4.219507705176107,101.46794,0.02702702702702703,0.0,0.0,0.708,2.8653846153846154,1.4900000095367432,-0.16907961666584015
1,2015,AUT,Europe,High income,9.806733131408691,42.74134063720703,0.024978190660476685,0.9170823097229004,26.668611526489258,0.5308905839920044,-0.005601196084171534,0.2841217815876007,0.06441522389650345,0.0,0.0,0.0,4,1,0,711.21484375,0.8410399556159973,3.6683292388916016,1,4,9.129197120666504,3.6690754890441895,1,100.0,0.0,0.0,0.718,2.7058823529411766,14379.388799999999,0.028908814687523224,3.3115550508434857,1.2349535749543052,0.0007583603614457832,0.4578313253012048,9.641977017432882e-06,0.22188387832641443,6.09214791946243e-07,4.792577832890264e-08,0.918918918918919,37.0,3.6375861597263857,100.0,0.02702702702702703,0.0,0.0,0.718,2.7058823529411766,2.0299999713897705,0.710098385810852
1,2016,AUT,Europe,High income,9.841940879821777,42.71513366699219,0.024242715910077095,0.9170823097229004,26.704269409179688,0.5240639448165894,-0.06799712777137756,0.2888231873512268,0.05566203221678734,1.0,0.0,0.0,4,1,0,713.1179809570312,0.8410399556159973,3.6683292388916016,1,4,9.252604484558105,3.6690754890441895,1,99.175626,0.0,0.0,0.6922,2.7,14814.289466666667,0.028084452206714575,3.3115550508434857,1.201235921957612,0.00147902,0.4578313253012048,4.141661388400353e-05,0.002942827545095655,2.096556531678378e-06,3.493806771357956e-07,0.8378378378378378,37.0,3.6375861597263857,99.175626,0.02702702702702703,0.0,0.0,0.6922,2.7,2.0199999809265137,-0.8595027327537537
1,2017,AUT,Europe,High income,9.922833442687988,38.40495300292969,0.022193098440766335,0.7979843020439148,26.75697898864746,0.5405115485191345,0.02422529272735119,0.28546759486198425,0.055620040744543076,1.0,0.0,1.0,4,1,0,715.9359130859375,0.6367789506912231,3.191937208175659,1,1,9.925203323364258,3.021146535873413,1,98.645793,0.045454545454545456,0.0,0.8519,2.382978723404255,15159.777333333333,0.03123784448826983,3.3115550508434857,1.2227296918283699,0.0036947973493975904,0.46987951807228917,0.00010838640836460456,0.004597062783876333,0.00038887613102746814,4.368751188517713e-08,0.9591836734693877,49.0,3.912023005428146,98.645793,0.05405405405405406,0.045454545454545456,0.0,0.8519,2.4130434782608696,2.0899999141693115,1.047109842300415
1,2018,AUT,Europe,High income,10.034175872802734,38.88790512084961,0.022570958361029625,0.7979843020439148,26.843544006347656,0.5546221733093262,-0.05915302410721779,0.28518709540367126,0.05155656859278679,1.0,1.0,1.0,4,1,0,720.5758666992188,0.6367789506912231,3.191937208175659,1,5,10.038093566894531,3.148771047592163,1,97.951742,0.045454545454545456,0.09090909090909091,0.8375999999999999,2.5952380952380953,15716.464666666665,0.031977259177652234,3.3115550508434857,1.2314018396310964,0.006900944578313253,0.46987951807228917,-0.00015653968130474073,0.06062009194988185,0.0009912220884208398,-5.052280584327193e-10,0.84,50.0,3.9318256327243257,97.951742,0.05405405405405406,0.045454545454545456,0.09090909090909091,0.8375999999999999,2.5952380952380953,1.9600000381469727,0.06153459474444389
1,2019,AUT,Europe,High income,10.054037094116211,38.811378479003906,0.022685686126351357,0.7979843020439148,26.82048797607422,0.557572066783905,-0.016117265447974205,0.283661812543869,0.05392453074455261,1.0,1.0,1.0,4,1,0,719.3385620117188,0.6367789506912231,3.191937208175659,1,1,10.037203788757324,3.1521055698394775,1,95.771885,0.08333333333333333,0.08333333333333333,0.8359999999999999,2.8378378378378377,16502.370933333335,0.027404578257864593,3.3115550508434857,1.2129000681644129,0.011261195662650603,0.4819277108433735,-7.037693568470965e-06,0.007570600095157941,0.00045313268254704365,4.444525963466706e-08,0.8809523809523809,42.0,3.7612001156935624,,0.08108108108108109,0.08333333333333333,0.08333333333333333,0.8359999999999999,2.8378378378378377,1.8300000429153442,-1.6681203842163086
1,2020,AUT,Europe,High income,9.937386512756348,38.05312728881836,0.023070042952895164,0.7979843020439148,26.799129486083984,0.5161281228065491,0.0017475599888712168,0.2925533354282379,0.0553642101585865,1.0,1.0,1.0,4,1,0,718.193359375,0.6367789506912231,3.191937208175659,1,3,10.083466529846191,3.1465163230895996,1,,0.32,0.16,0.7937999999999998,2.7435897435897436,17568.741466666666,0.02442754117092319,3.3115550508434857,1.2078549499739424,0.013417079518072288,0.4819277108433735,0.00031513698486632064,0.031133127619100226,0.0009389825837517348,3.804442259245601e-08,0.9302325581395349,43.0,3.784189633918261,,0.21621621621621623,0.32,0.16,0.7937999999999998,2.736842105263158,1.840000033378601,1.4765079021453857
1,2021,AUT,Europe,High income,10.065876960754395,41.30775451660156,0.024552326649427414,0.7979843020439148,26.89781951904297,0.5590031147003174,0.04358617588877678,0.29051515460014343,0.04666132852435112,1.0,1.0,1.0,4,1,0,723.49267578125,0.6367789506912231,3.191937208175659,1,2,9.929929733276367,3.1533806324005127,1,,0.3333333333333333,0.18518518518518517,0.7639,2.9642857142857144,,0.04323382917348336,3.3115550508434857,1.1684746811148632,,0.4819277108433735,9.570248407366429e-05,0.037329004571931224,0.00028794506974594297,3.2527984249711547e-08,0.9333333333333333,30.0,3.4339872044851463,,0.24324324324324326,0.3333333333333333,0.18518518518518517,0.7639,2.9642857142857144,1.4800000190734863,-1.0624557733535767
2,2014,BEL,Europe,High income,10.876348495483398,41.44185256958008,0.024870894849300385,0.859651505947113,27.006261825561523,0.7980101108551025,-0.0007811689865775406,0.3588888347148895,0.03002510964870453,0.0,0.0,0.0,4,1,0,729.3381958007812,0.7390007376670837,3.438606023788452,1,2,10.297677040100098,3.207779884338379,1,100.80078800000001,0.0,0.0,0.8499000000000001,2.7758620689655173,13886.408,0.03949913945672428,2.0393797743657163,1.1321826868425928,0.0005626932530120482,0.4578313253012048,9.86713354672984e-05,0.017869479011347136,0.0036004619383162937,2.0039912604618055e-08,0.9666666666666667,60.0,4.110873864173311,100.80078800000001,0.02702702702702703,0.0,0.0,0.8499000000000001,2.7758620689655173,1.4900000095367432,-1.2236772775650024
2,2015,BEL,Europe,High income,10.807930946350098,41.52053451538086,0.024508032947778702,0.859651505947113,26.859556198120117,0.778052806854248,0.015854569151997566,0.36637070775032043,0.028233425691723824,0.0,0.0,0.0,4,1,0,721.4357299804688,0.7390007376670837,3.438606023788452,1,2,10.089058876037598,2.9819042682647705,1,100.0,0.0,0.0,0.8863,2.6486486486486487,14331.281600000002,0.028920797732348874,2.0393797743657163,1.14172178467789,0.0007222606024096386,0.4578313253012048,-3.717341564720485e-05,0.013307323913179634,0.0019099807746393402,2.8396338668568777e-08,0.9866666666666667,75.0,4.330733340286331,100.0,0.02702702702702703,0.0,0.0,0.8863,2.6486486486486487,2.0299999713897705,0.8640264272689819
